,Feature,All,Early,Late
0,N (patients),132,66,66
1,age — median,66.00,66.00,67.00
2,age — IQR,60.00-72.00,59.00-72.00,61.00-73.00
3,sex = FEMALE,77 (58),35 (53),42 (64)
4,sex = MALE,55 (42),31 (47),24 (36)
5,stage = Stage IA,29 (22),10 (15),19 (29)
6,stage = Stage IB,37 (28),14 (21),23 (35)
7,stage = Stage IIA,14 (11),8 (12),6 (9)
8,stage = Stage IIB,30 (23),17 (26),13 (20)
9,stage = Stage IIIA,22 (17),17 (26),5 (8)
10,smoking_status = current,26 (20),9 (14),17 (26)
11,smoking_status = former,88 (67),50 (76),38 (58)
12,smoking_status = never,18 (14),7 (11),11 (17)
13,race = american indian or alaska native,1 (1),1 (2),0 (0)
14,race = asian,2 (2),2 (3),0 (0)
15,race = black or african american,14 (11),5 (8),9 (14)
16,race = white,105 (80),53 (80),52 (79)
17,race = Missing,10 (8),5 (8),5 (8)
18,ethnicity = hispanic or latino,1 (1),0 (0),1 (2)
19,ethnicity = not hispanic or latino,107 (81),53 (80),54 (82)
20,ethnicity = Missing,24 (18),13 (20),11 (17)
21,ttr — median,434.00,244.00,659.00
22,ttr — IQR,245.00-656.50,183.25-326.00,502.25-878.50
