Consequence,Variant_Classification,Variant_Type,count
missense_variant,Missense_Mutation,SNP,32227
stop_gained,Nonsense_Mutation,SNP,2608
3_prime_UTR_variant,3'UTR,SNP,1958
5_prime_UTR_variant,5'UTR,SNP,1183
"missense_variant,splice_region_variant",Missense_Mutation,SNP,1084
frameshift_variant,Frame_Shift_Del,DEL,1003
intron_variant,Intron,SNP,873
splice_acceptor_variant,Splice_Site,SNP,718
splice_donor_variant,Splice_Site,SNP,395
"splice_region_variant,synonymous_variant",Splice_Region,SNP,302
frameshift_variant,Frame_Shift_Ins,INS,265
"splice_region_variant,intron_variant",Splice_Region,SNP,233
upstream_gene_variant,5'Flank,SNP,125
"stop_gained,splice_region_variant",Nonsense_Mutation,SNP,122
downstream_gene_variant,3'Flank,SNP,119
inframe_deletion,In_Frame_Del,DEL,105
"missense_variant,NMD_transcript_variant",Missense_Mutation,SNP,99
start_lost,Translation_Start_Site,SNP,54
stop_lost,Nonstop_Mutation,SNP,49
"frameshift_variant,splice_region_variant",Frame_Shift_Del,DEL,41
3_prime_UTR_variant,3'UTR,DEL,33
intron_variant,Intron,DEL,29
5_prime_UTR_variant,5'UTR,DEL,25
"splice_region_variant,5_prime_UTR_variant",Splice_Region,SNP,16
"3_prime_UTR_variant,NMD_transcript_variant",3'UTR,SNP,15
"splice_polypyrimidine_tract_variant,intron_variant",Intron,SNP,14
3_prime_UTR_variant,3'UTR,INS,14
"stop_gained,NMD_transcript_variant",Nonsense_Mutation,SNP,11
inframe_insertion,In_Frame_Ins,INS,9
5_prime_UTR_variant,5'UTR,INS,7
splice_acceptor_variant,Splice_Site,DEL,7
"missense_variant,splice_region_variant,NMD_transcript_variant",Missense_Mutation,SNP,7
protein_altering_variant,In_Frame_Del,DEL,7
splice_donor_variant,Splice_Site,DEL,6
"splice_donor_variant,intron_variant",Splice_Site,DEL,5
"splice_donor_variant,coding_sequence_variant,intron_variant",Splice_Site,DEL,5
"intron_variant,NMD_transcript_variant",Intron,SNP,5
"splice_region_variant,intron_variant",Splice_Region,DEL,5
"stop_gained,frameshift_variant",Nonsense_Mutation,INS,5
downstream_gene_variant,3'Flank,DEL,4
"splice_region_variant,3_prime_UTR_variant",Splice_Region,SNP,4
intron_variant,Intron,INS,4
"splice_region_variant,non_coding_transcript_exon_variant",Splice_Region,SNP,4
"frameshift_variant,NMD_transcript_variant",Frame_Shift_Del,DEL,4
"frameshift_variant,splice_region_variant",Frame_Shift_Ins,INS,4
"inframe_deletion,splice_region_variant",In_Frame_Del,DEL,3
upstream_gene_variant,5'Flank,INS,3
"splice_donor_variant,coding_sequence_variant",Splice_Site,DEL,3
missense_variant,Missense_Mutation,ONP,2
"stop_lost,3_prime_UTR_variant",Nonstop_Mutation,DEL,2
"splice_region_variant,intron_variant",Splice_Region,INS,2
"stop_gained,frameshift_variant",Nonsense_Mutation,DEL,2
"frameshift_variant,stop_lost",Frame_Shift_Del,DEL,2
"splice_region_variant,3_prime_UTR_variant,NMD_transcript_variant",Splice_Region,SNP,2
"splice_donor_variant,NMD_transcript_variant",Splice_Site,SNP,2
"splice_acceptor_variant,NMD_transcript_variant",Splice_Site,SNP,2
"splice_acceptor_variant,coding_sequence_variant,intron_variant",Splice_Site,DEL,2
"splice_acceptor_variant,coding_sequence_variant",Splice_Site,DEL,2
splice_donor_variant,Splice_Site,INS,2
"intron_variant,non_coding_transcript_variant",Intron,SNP,1
"3_prime_UTR_variant,NMD_transcript_variant",3'UTR,DEL,1
"stop_gained,protein_altering_variant",Nonsense_Mutation,DEL,1
upstream_gene_variant,5'Flank,DEL,1
splice_acceptor_variant,Splice_Site,INS,1
"splice_acceptor_variant,non_coding_transcript_variant",Splice_Site,SNP,1
"splice_acceptor_variant,coding_sequence_variant,intron_variant",Splice_Site,INS,1
"frameshift_variant,stop_retained_variant",Frame_Shift_Ins,INS,1
"splice_donor_variant,non_coding_transcript_variant",Splice_Site,SNP,1
"splice_region_variant,5_prime_UTR_variant",Splice_Region,DEL,1
"splice_region_variant,5_prime_UTR_variant",Splice_Region,INS,1
"frameshift_variant,splice_region_variant,NMD_transcript_variant",Frame_Shift_Del,DEL,1
"frameshift_variant,NMD_transcript_variant",Frame_Shift_Ins,INS,1
"splice_region_variant,intron_variant,NMD_transcript_variant",Splice_Region,SNP,1
"frameshift_variant,start_lost",Frame_Shift_Del,DEL,1
